Dur,SrcAddr,DstAddr,Proto,TotBytes,Sport,Dport,Label,Rand
4.042725,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.147176777
7.765082,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.496324902
41.972747,192.168.137.233,183.36.108.251,TCP,74,56083,80,Botnet,0.579559879
14.216657,192.168.137.233,183.36.108.251,HTTP,989,56042,80,Botnet,0.649689784
5.993452,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.678692094
14.128705,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.959398889
1.980673,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.390189686
116.876826,192.229.237.96,192.168.137.87,TCP,1434,443,44118,Normal,0.345018963
13.907048,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.389286941
14.079152,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.91840165
2.575565,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.233160133
8.886236,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.932639956
13.411328,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.266114137
1.857399,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.258620521
116.966655,192.168.137.87,192.229.237.96,TCP,86,44118,443,Normal,0.216172148
1.797534,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.178340126
6.029468,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.268862985
127.959414,183.36.108.251,192.168.137.233,TCP,66,80,56140,Botnet,0.006404551
1.874346,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.114336895
10.731981,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.034697374
9.46389,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.072400918
5.991504,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.152553939
10.094881,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.160854241
120.226834,192.168.137.87,183.36.108.251,TCP,54,44064,80,Normal,0.392280341
6.913143,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.106359899
2.611809,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.866456016
0.379841,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.792840432
5.581785,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.943585336
80.904755,183.36.108.251,192.168.137.233,HTTP,1095,80,56118,Botnet,0.229417705
120.891268,192.168.137.87,192.229.237.96,TCP,66,44123,443,Normal,0.94536066
116.707786,192.168.137.87,192.229.237.96,TCP,66,44118,443,Normal,0.185612928
6.477716,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.952798051
108.878733,172.217.167.132,192.168.137.87,TCP,66,443,40652,Normal,0.573077448
3.701407,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.098466296
111.143231,172.217.167.132,192.168.137.87,TLSv1.2,1434,443,40652,Normal,0.092498117
14.236435,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.866896338
60.001093,172.217.26.173,192.168.137.233,TCP,66,443,51407,Botnet,0.294650696
93.653835,183.36.108.251,192.168.137.87,HTTP,1095,80,44038,Normal,0.586190045
68.83467,183.36.108.251,192.168.137.233,TCP,74,80,56105,Botnet,0.615672237
40.386474,192.168.137.233,183.36.108.251,TCP,54,56074,80,Botnet,0.380157195
110.714484,172.217.167.132,192.168.137.87,TLSv1.2,112,443,40652,Normal,0.53327232
3.007061,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.868944858
43.472925,192.168.137.87,183.36.108.251,HTTP,989,43985,80,Normal,0.815083906
122.576524,192.168.137.233,157.240.25.20,TCP,1434,35903,443,Botnet,0.084880804
0.343971,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.102210091
0.985399,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.807558518
7.28519,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.918769013
0.642944,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.195609266
10.901307,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.396517272
147.507359,172.217.163.112,192.168.137.87,TCP,129,443,52001,Normal,0.324867744
9.102849,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.722810458
10.216858,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.168368732
2.715781,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.606509825
100.737498,192.168.137.87,183.36.108.251,TCP,54,44045,80,Normal,0.891493282
6.084043,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.925931136
9.335526,192.168.137.233,183.36.108.251,TCP,54,55939,80,Botnet,0.110772839
12.071575,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.930567875
5.358443,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.383742177
24.029206,192.168.137.233,23.20.239.12,TCP,66,49021,80,Botnet,0.608293212
8.280964,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.19224915
121.917185,104.244.42.198,192.168.137.87,TCP,1434,443,58299,Normal,0.910651442
8.811302,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.192245423
7.796657,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.199463808
87.219581,216.58.196.170,192.168.137.87,TLSv1.2,1434,443,34509,Normal,0.671625827
5.858199,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.422269088
8.986992,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.151136395
107.752074,192.168.137.87,172.217.167.132,TLSv1.2,210,40652,443,Normal,0.652501111
68.412201,183.36.108.251,192.168.137.87,HTTP,1095,80,44009,Normal,0.690838274
0.933263,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.98638978
13.906819,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.598480282
44.301312,192.168.137.233,183.36.108.251,TCP,74,55987,80,Botnet,0.856371309
94.374628,192.168.137.233,183.36.108.251,TCP,54,56022,80,Botnet,0.547046173
5.963963,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.071513108
1.801915,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.585084151
5.133755,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.395339496
41.921152,192.168.137.233,183.36.108.251,TCP,54,56082,80,Botnet,0.542498363
0.4898,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.387856502
6.226683,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.731460935
41.960416,103.102.166.224,192.168.137.87,TCP,1434,443,53196,Normal,0.001054473
34.031307,183.36.108.251,192.168.137.233,TCP,66,80,56072,Botnet,0.064590023
8.15955,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.314431266
1.177457,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.192281002
12.021995,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.088848894
